Data,Godzina,Generacja źródeł wiatrowych,Generacja źródeł fotowoltaicznych
2022-01-30,8,4553.088,21.838
2022-01-30,9,4563.138,113.725
2022-01-30,10,4723.900,306.800
2022-01-30,11,4859.475,475.538
2022-01-30,12,5068.613,569.688
2022-01-30,13,5345.238,570.913
2022-01-30,14,5496.300,534.613
2022-01-30,15,5579.813,428.325
2022-01-30,16,5658.600,217.650
2022-01-30,17,5611.750,50.438
2022-01-30,18,5581.600,0.000
2022-01-30,19,5701.013,0.000
2022-01-30,20,5791.188,0.000
2022-01-30,21,5816.313,0.000
2022-01-30,22,5852.350,0.000
2022-01-30,23,5712.050,0.000
2022-01-30,24,5544.363,0.000
2022-01-31,1,5373.863,0.000
2022-01-31,2,5010.338,0.000
2022-01-31,3,4547.575,0.000
2022-01-31,4,4169.175,0.000
2022-01-31,5,3763.513,0.000
2022-01-31,6,3465.250,0.000
2022-01-31,7,2934.350,0.000
2022-01-31,8,2440.050,27.313
2022-01-31,9,1995.525,157.175
2022-01-31,10,1634.188,455.150
2022-01-31,11,1255.213,783.675
2022-01-31,12,1073.788,1083.725
2022-01-31,13,1006.313,1130.425
2022-01-31,14,889.375,1154.800
2022-01-31,15,844.688,860.688
2022-01-31,16,738.825,483.825
2022-01-31,17,707.075,119.150
2022-01-31,18,831.775,0.000
2022-01-31,19,1006.088,0.000
2022-01-31,20,1143.988,0.000
2022-01-31,21,1186.625,0.000
2022-01-31,22,1279.475,0.000
2022-01-31,23,1267.525,0.000
2022-01-31,24,1257.938,0.000
2022-02-01,1,1221.263,0.000
2022-02-01,2,1429.725,0.000
2022-02-01,3,1564.125,0.000
2022-02-01,4,1469.763,0.000
2022-02-01,5,1421.925,0.000
2022-02-01,6,1484.250,0.000
2022-02-01,7,1647.813,0.000
2022-02-01,8,1822.500,38.700
2022-02-01,9,2155.500,212.013
2022-02-01,10,2250.988,458.450
2022-02-01,11,2351.813,781.150
2022-02-01,12,2579.400,1055.938
2022-02-01,13,2774.925,1003.825
2022-02-01,14,2881.375,907.688
2022-02-01,15,3116.525,671.938
2022-02-01,16,3357.713,382.000
2022-02-01,17,3895.325,120.163
2022-02-01,18,4453.788,2.838
2022-02-01,19,4692.863,0.000
2022-02-01,20,4687.075,0.000
2022-02-01,21,4782.338,0.000
2022-02-01,22,5003.113,0.000
2022-02-01,23,5113.138,0.000
2022-02-01,24,5082.675,0.000
